SYMBOL,INDUSTRY,3D,5D,10D,15D,20D,50D,100D,150D
BECTORFOOD,Packaged Foods,-1.75,1.23,-10.14,-7.82,-11.23,-0.09,-9.22,-14.15
BEDMUTHA,Iron & Steel Products,0.76,-0.32,-0.68,-2.55,-5.97,-14.63,-18.87,-31.39
BEL,Aerospace & Defense,-2.17,-3.77,-3.98,-3.18,-6.5,-4.76,23.87,33.05
BELLACASA,Garments & Apparels,1.31,1.33,-3.11,-0.68,-5.33,,,
BELRISE,Auto Components & Equipments,3.65,7.16,6.64,8.66,10.73,36.95,,
BEML,Construction Vehicles,-1.61,-1.19,1.93,0.26,-5.99,-6.3,39.03,6.4
BEPL,Specialty Chemicals,0.84,0.06,-3.0,-1.27,-4.03,-10.11,-4.37,-14.96
BERGEPAINT,Paints,-3.82,-1.32,-6.19,-7.77,-7.97,-6.51,3.66,13.13
BESTAGRO,Pesticides & Agrochemicals,0.51,-1.73,-19.15,-16.72,-19.2,-17.76,-37.81,
BFINVEST,Holding Company,4.4,6.12,5.82,0.1,-0.67,-3.7,-2.8,-20.75
BFSI,Unknown,-0.22,1.25,0.96,-0.25,-2.0,-0.22,6.64,16.31
BFUTILITIE,"Road AssetsToll, Annuity, Hybrid-Annuity",14.47,15.34,13.16,11.61,3.75,2.6,19.11,
BGRENERGY,Civil Construction,33.09,36.88,46.78,213.65,323.59,,,
BHAGCHEM,Pesticides & Agrochemicals,-0.05,0.19,-4.72,-8.89,-8.37,-6.9,-0.44,-3.85
BHAGERIA,Dyes And Pigments,0.79,0.73,-1.74,-13.08,-11.94,-7.1,8.37,
BHANDARI,Other Textile Products,0.19,3.82,5.73,-3.36,-7.01,-9.93,-0.19,-21.31
BHARATFORG,Auto Components & Equipments,-2.57,-2.32,1.29,-2.9,-5.69,-13.46,-3.94,-5.96
BHARATGEAR,Auto Components & Equipments,10.51,8.42,8.93,2.02,0.55,3.62,33.75,-0.06
BHARATRAS,Pesticides & Agrochemicals,-2.09,-5.83,1.35,-4.35,-2.39,19.18,0.78,7.42
BHARATWIRE,Iron & Steel Products,3.55,7.7,9.54,-1.17,-8.45,-11.47,1.84,-9.16
BHARTIARTL,Telecom - Cellular & Fixed line services,1.99,3.35,0.01,-0.14,-0.72,3.75,12.28,20.09
BHARTIHEXA,Telecom - Cellular & Fixed line services,4.13,6.11,0.35,0.11,-0.71,-0.02,29.62,22.08
BHEL,Heavy Electrical Equipment,0.86,-2.46,-8.9,-9.59,-13.03,-14.99,0.43,0.97
BIGBLOC,Cement & Cement Products,16.41,13.99,11.79,-0.25,-3.84,-11.45,-15.27,-39.63
BIKAJI,Packaged Foods,0.76,8.56,6.08,1.91,-1.32,2.17,13.3,7.5
BIL,Leather And Leather Products,-2.09,-2.88,2.19,-6.96,-10.08,,,
BIOCON,Pharmaceuticals,-1.8,-0.69,-0.74,-9.95,-9.88,0.93,2.42,-3.49
BIRLACORPN,Cement & Cement Products,1.66,0.98,3.53,-5.44,-10.38,-5.37,23.48,6.41
BIRLAMONEY,Stockbroking & Allied,3.45,2.77,-1.98,4.42,-1.42,-7.29,,
BIRLANU,"Furniture, Home Furnishing",-1.46,-1.64,-1.61,-16.22,-18.87,-17.73,,
BLACKBUCK,Transport Related Services,7.2,11.78,10.21,33.6,39.5,33.12,48.92,51.29
BLAL,Investment Company,1.61,4.04,-0.5,-0.24,-1.21,-4.62,3.36,-9.91
BLBLIMITED,Investment Company,-1.1,-1.82,7.8,5.14,8.16,6.17,-6.59,-17.75
BLISSGVS,Pharmaceuticals,-6.17,-4.0,-5.44,-10.55,4.47,7.3,33.38,-1.86
BLKASHYAP,Civil Construction,6.34,5.81,2.97,-3.61,3.56,2.1,41.46,-7.46
BLS,"Tour, Travel Related Services",-1.38,-2.9,-8.81,-2.77,-0.15,-3.14,-13.15,-21.49
BLUEDART,Logistics Solution Provider,0.36,-0.39,1.1,-5.09,-14.89,-10.62,-2.56,-11.2
BLUEJET,Pharmaceuticals,-1.34,-2.66,1.32,-3.22,-5.63,-19.69,-14.74,32.29
BLUESTARCO,Household Appliances,-0.75,8.29,7.39,8.35,8.7,16.43,-14.0,-5.55
BLUESTONE,Unknown,,,,,,,,
BLUSPRING,Diversified Commercial Services,1.65,-0.21,-0.72,-9.86,-6.67,,,
BODALCHEM,Dyes And Pigments,0.24,2.09,-1.73,-12.6,-10.97,-9.29,3.01,0.31
BOHRAIND,Fertilizers,-7.47,-12.87,-10.63,-11.47,-9.29,,,
BOMDYEING,Other Textile Products,3.62,2.48,4.72,0.78,-7.61,7.47,25.49,0.77
BORANA,Other Textile Products,-2.27,-0.29,-1.13,-1.86,-3.48,-8.03,,
BOROLTD,Houseware,0.87,0.76,1.38,1.89,0.28,-8.99,-3.09,-15.55
BORORENEW,Glass - Industrial,-2.2,-4.75,-7.13,-7.78,-10.23,-2.59,2.25,
BOROSCI,Glass - Industrial,-1.62,-3.91,-10.97,-13.76,-20.87,-3.24,6.85,-14.19
BOSCHLTD,Auto Components & Equipments,0.36,2.11,3.19,-1.46,3.94,23.77,39.6,20.24
BPCL,Refineries & Marketing,1.89,-0.79,1.33,-5.07,-7.11,-4.16,14.09,14.27
BPL,Consumer Electronics,6.83,7.03,6.01,-0.3,-5.78,-12.6,10.0,-18.35
BRIGADE,"Residential, Commercial Projects",0.52,0.14,-0.11,-1.99,-7.79,-21.64,-2.62,-18.31
BRIGHOTEL,Hotels & Resorts,0.56,2.95,6.09,,,,,
BRITANNIA,Packaged Foods,2.91,4.13,3.61,-2.6,-2.13,-0.93,16.69,13.62
BRNL,Civil Construction,12.13,15.52,7.55,2.79,-1.93,-41.04,-54.15,
BSE,Exchange and Data Platform,-6.52,-6.58,-2.32,-5.1,-8.8,-19.09,-49.9,-55.2
BSE500IETF,ETF,1.17,1.96,1.83,0.62,-1.17,-0.66,7.38,5.24
BSHSL,Other Agricultural Products,3.07,3.36,0.18,-3.32,-1.44,-4.82,6.91,-6.86
BSLGOLDETF,ETF,-0.24,-0.86,-1.02,0.1,-1.19,2.56,12.76,26.52
BSLNIFTY,ETF,0.69,1.89,2.03,1.15,-0.21,0.24,6.91,7.78
BSLSENETFG,ETF,0.49,1.54,1.86,0.63,-0.74,-0.28,4.73,6.53
BSOFT,Computers - Software & Consulting,3.03,2.8,-1.24,-8.09,-5.61,-11.51,-7.22,-29.86
BTML,Digital Entertainment,-2.21,-4.09,3.1,-1.72,-3.04,-17.73,-34.8,-31.56
BUTTERFLY,Household Appliances,2.73,3.75,-0.22,0.82,-2.97,-3.38,19.85,-3.36
BVCL,Cement & Cement Products,2.69,-5.44,0.95,-1.2,-6.09,16.23,7.2,-8.9
CAMPUS,Footwear,0.23,1.65,-0.04,-2.07,-8.11,-7.91,10.26,-8.1
CAMS,"Depositories, Clearing Houses and Other Intermediaries",-0.04,1.94,2.07,0.13,-8.17,-7.88,2.18,-16.44
CANBK,Public Sector Bank,1.58,1.91,2.11,2.65,3.03,-5.14,21.63,16.01
CANFINHOME,Housing Finance Company,3.05,4.05,5.08,5.83,-0.67,-3.85,14.13,12.84
CANTABIL,Garments & Apparels,1.29,3.02,-0.06,-6.15,-8.61,-1.1,-8.16,-18.44
CAPACITE,Civil Construction,5.87,4.77,-0.27,-1.61,-8.92,-13.78,-18.39,-27.15
CAPITALSFB,Other Bank,0.27,0.6,-2.57,-1.76,-6.93,-1.85,4.85,-2.62
CAPLIPOINT,Pharmaceuticals,2.76,2.51,14.59,3.04,4.84,4.48,7.79,-10.75
CARBORUNIV,Abrasives & Bearings,8.07,11.82,6.82,-0.97,-3.24,-0.83,-6.67,-25.14
CARERATING,Ratings,-1.6,-4.24,-2.89,-7.94,-14.09,-18.03,38.37,19.64
CARRARO,Auto Components & Equipments,0.66,2.1,-4.08,-12.68,-14.17,-6.53,16.48,-32.33
CARTRADE,E-Retail/ E-Commerce,-2.14,3.45,14.78,16.2,23.79,46.31,36.27,49.99
CARYSIL,Household Appliances,1.47,12.85,12.28,-0.21,-2.64,-0.12,33.19,23.38
CASHIETF,ETF,0.04,0.11,0.21,0.31,0.41,0.99,2.22,
CASTROLIND,Lubricants,1.25,0.27,-2.15,-5.27,-8.74,-5.0,-4.84,5.21
CCCL,"Residential, Commercial Projects",-4.49,-5.1,-6.93,-10.35,-12.35,-20.79,,
CCHHL,Hotels & Resorts,-1.74,-2.66,-3.63,-3.25,-2.77,-3.2,6.56,-9.59
CCL,Tea & Coffee,0.07,5.3,4.73,6.8,5.41,6.02,55.17,34.01
CDSL,"Depositories, Clearing Houses and Other Intermediaries",-0.36,0.32,1.55,3.75,-7.53,-9.77,27.03,-6.24
CEATLTD,Tyres & Rubber Products,-1.55,0.76,-1.29,-6.36,-8.74,-17.33,11.38,2.16
CEIGALL,Civil Construction,1.28,2.92,-2.95,-1.39,-5.33,-2.68,-9.19,-23.73
CELEBRITY,Garments & Apparels,-1.6,-3.38,-4.95,-8.83,-9.84,-8.63,9.35,-21.73
CELLO,Houseware,2.27,-0.02,-5.58,-8.37,-10.39,-13.28,-5.4,-24.49
CENTENKA,Other Textile Products,-0.73,-0.24,0.56,-4.43,-5.86,2.87,-6.43,-13.47
CENTEXT,"Aluminium, Copper & Zinc Products",2.96,2.86,-0.57,-4.8,-4.96,8.17,17.93,-0.4
CENTRALBK,Public Sector Bank,-0.74,1.11,1.93,-0.87,-3.58,-9.37,-22.44,-29.58
CENTUM,Industrial Products,8.46,12.71,19.37,25.31,20.06,24.73,69.97,38.88
CENTURYPLY,Plywood Boards/ Laminates,-2.62,1.95,-1.15,1.0,1.68,-4.06,3.03,-10.54
CERA,Sanitary Ware,-0.33,1.05,3.46,-0.55,-4.56,-7.44,14.45,-9.3
CESC,Integrated Power Utilities,0.16,0.24,1.98,-6.73,-7.53,-4.07,7.06,-3.04
CEWATER,Waste Management,5.1,5.13,-3.3,-12.8,-13.09,-7.33,5.8,-26.11
CGCL,Non Banking Financial Company (NBFC),-1.59,1.18,0.46,0.98,3.54,4.42,11.53,0.38
CGPOWER,Unknown,1.26,1.06,-0.44,2.6,-0.79,-2.62,7.05,-0.09
CHALET,Hotels & Resorts,6.56,14.28,17.64,14.36,9.65,12.22,18.44,11.35
CHAMBLFERT,Fertilizers,5.22,6.7,-1.2,4.54,0.67,-0.37,-9.18,14.36
CHEMBONDCH,Unknown,0.04,-3.63,2.58,,,,,
CHEMCON,Specialty Chemicals,1.64,-0.44,-1.32,-1.74,4.07,10.68,25.4,-1.27
CHEMFAB,Commodity Chemicals,3.49,2.96,3.15,-9.48,-10.75,-11.15,-5.57,-32.03
CHEMPLASTS,Commodity Chemicals,-1.92,6.44,7.3,2.42,-5.19,1.73,-7.48,-8.41
CHENNPETRO,Refineries & Marketing,5.83,1.9,4.56,-5.12,-14.68,-2.93,4.09,8.4
CHEVIOT,Jute & Jute Products,0.36,2.68,-1.04,2.86,2.88,7.89,16.69,-5.49
CHOICEIN,Holding Company,-3.5,-2.01,6.37,5.68,3.3,12.27,56.34,47.56
CHOLAFIN,Non Banking Financial Company (NBFC),-0.28,3.96,4.36,2.72,-2.43,-5.59,-0.72,17.86
CHOLAHLDNG,Investment Company,-2.57,0.67,5.08,-1.17,-8.98,-4.63,6.25,19.35
CIEINDIA,Auto Components & Equipments,0.7,2.01,-0.46,-1.49,-4.32,-16.11,-2.24,-12.92
CIFL,Non Banking Financial Company (NBFC),2.7,2.17,4.92,-0.73,-6.7,-13.52,,
CIGNITITEC,IT Enabled Services,4.23,6.01,4.94,-1.0,-6.72,-3.5,14.47,-2.63
CINELINE,"Film Production, Distribution & Exhibition",3.49,0.18,3.78,-3.01,2.15,-4.44,-17.91,
CIPLA,Pharmaceuticals,1.76,2.04,7.14,2.14,8.1,4.67,4.51,7.03
CLEAN,Specialty Chemicals,-1.36,-6.58,-3.99,-7.82,-11.94,-23.74,-6.13,-20.37
CLEDUCATE,Education,4.43,6.52,34.35,21.65,17.63,15.14,51.1,4.23
CLSEL,Other Agricultural Products,-1.35,-2.88,-3.7,-11.92,-15.1,-21.24,-11.66,-26.11
CMSINFO,Diversified Commercial Services,1.45,2.52,2.59,-4.05,-10.9,-10.11,-7.23,-5.14
COALINDIA,Coal,-2.49,-2.06,0.34,-0.46,-3.22,-5.96,-6.86,1.6
COASTCORP,Seafood,-4.42,2.1,-1.59,-8.79,-8.21,-21.2,-15.61,-86.25
COCHINSHIP,Ship Building & Allied Services,-0.83,1.44,0.02,-4.41,-8.73,-22.21,14.97,15.81
COFFEEDAY,Restaurants,21.3,21.21,33.39,27.57,23.77,23.71,,
COFORGE,Computers - Software & Consulting,4.39,6.57,5.49,-1.22,-6.57,-4.86,-77.76,-81.38
COHANCE,Pharmaceuticals,0.08,-8.92,-4.07,-9.96,-13.94,-10.4,,
COLPAL,Personal Care,5.64,8.23,4.89,5.07,2.85,-3.36,-3.12,-18.68
COMMOIETF,ETF,0.49,1.12,1.85,0.18,-0.95,0.52,4.16,10.73
COMPUSOFT,Education,-0.74,-0.4,0.75,-5.5,-7.71,-12.48,2.86,-25.29
COMSYN,Packaging,3.72,3.55,6.4,4.46,9.26,6.09,105.51,
CONCOR,Logistics Solution Provider,2.86,2.15,-0.29,-5.46,-9.21,-29.93,-22.73,-27.04
CONCORDBIO,Pharmaceuticals,7.05,7.14,5.86,-4.05,-9.96,-17.85,5.28,-24.57
CONFIPET,LPG/CNG/PNG/LNG Supplier,3.04,-2.14,0.76,-3.26,-7.31,-18.07,-3.01,-31.27
CONS,Unknown,1.68,3.86,4.22,4.99,4.04,6.26,14.26,8.42
CONSOFINVT,Non Banking Financial Company (NBFC),0.39,-2.59,-3.15,-4.71,-5.57,-11.46,2.21,-7.47
CONSUMBEES,ETF,1.4,3.62,4.58,5.3,4.04,6.14,14.14,8.55
CONSUMER,Unknown,1.25,4.21,4.66,4.21,2.36,4.03,13.35,5.2
CONSUMIETF,ETF,1.17,3.05,4.29,4.76,3.64,5.69,13.75,8.31
CONTROLPR,Computers Hardware & Equipments,5.46,5.93,5.9,1.28,4.13,4.56,18.54,8.13
CORALFINAC,Diversified Commercial Services,1.26,0.22,0.74,0.18,-10.42,-4.95,6.65,-13.98
CORDSCABLE,Cables - Electricals,3.84,2.0,5.04,-9.67,-10.51,-8.91,2.45,-1.58
COROMANDEL,Fertilizers,0.83,7.58,-3.01,-8.44,4.19,2.0,22.3,24.43
COSMOFIRST,Packaging,0.35,-3.44,-3.66,-0.43,-6.84,-17.97,55.57,8.66
COUNCODOS,"Residential, Commercial Projects",6.67,0.15,-5.48,-33.47,4.79,12.33,-9.77,
CPCAP,Non Banking Financial Company (NBFC),2.35,2.29,-11.15,-15.3,-15.31,-18.41,,
CPPLUS,Industrial Products,18.19,20.85,20.93,,,,,
CPSEETF,ETF,-0.67,-1.22,-0.06,-1.27,-3.74,-4.07,1.93,5.83
CRAFTSMAN,Auto Components & Equipments,0.23,-1.64,8.68,0.51,7.7,27.89,43.85,32.73
CREATIVE,Trading & Distributors,-2.58,2.87,3.28,-1.81,-1.29,-6.61,-2.64,-34.03
CREDITACC,Microfinance Institutions,3.66,7.63,15.37,12.58,3.02,14.24,40.16,39.64
CREST,Non Banking Financial Company (NBFC),-1.63,0.71,0.28,-0.41,-2.19,-7.65,-5.42,-10.83
CRISIL,Other Financial Services,0.07,3.73,3.64,3.46,-7.85,-7.5,28.7,-4.82
CRIZAC,Internet & Catalogue Retail,8.34,3.76,13.1,5.56,0.73,,,
CROMPTON,Household Appliances,-1.41,0.74,0.58,-1.02,-5.63,-8.99,-11.42,-13.33
CROWN,Industrial Products,-3.08,3.82,4.73,-1.54,-6.0,-21.71,-21.66,-23.67
CSBBANK,Private Sector Bank,9.07,7.92,-4.5,-1.29,-3.08,6.89,37.23,36.55
CSLFINANCE,Non Banking Financial Company (NBFC),-0.62,-2.22,0.98,0.81,-7.14,-13.11,13.23,-0.52
CUB,Private Sector Bank,1.09,2.59,0.7,4.42,1.03,8.13,36.11,27.8
CUMMINSIND,"Compressors, Pumps & Diesel Engines",2.72,2.48,6.89,8.5,7.46,15.21,27.16,25.02
CUPID,Personal Care,-0.29,2.12,2.44,13.94,16.22,75.54,155.6,118.73
CYBERMEDIA,Electronic Media,-4.03,-4.66,-4.37,-16.56,-13.06,5.27,-33.73,
CYBERTECH,Computers - Software & Consulting,-3.6,1.28,7.45,1.14,3.93,-9.94,,
CYIENT,IT Enabled Services,4.4,5.55,3.16,0.79,-3.62,-8.14,-6.59,-31.21
CYIENTDLM,Industrial Products,3.43,4.33,2.11,-1.71,-5.96,-8.66,3.71,-29.44
DABUR,Personal Care,-0.65,2.42,0.33,-1.21,0.36,6.0,1.68,-1.05
DALBHARAT,Cement & Cement Products,0.78,3.44,4.36,4.89,3.49,9.6,34.63,30.33
DALMIASUG,Sugar,7.77,8.32,6.17,1.47,-2.05,-13.15,1.35,5.8
DAMCAPITAL,Stockbroking & Allied,3.96,1.36,7.93,-0.52,-10.0,-21.23,-10.04,-41.01
DAMODARIND,Other Textile Products,-0.06,2.43,-1.73,-4.1,-7.21,-5.91,14.16,-12.85
DATAMATICS,IT Enabled Services,9.93,-6.13,-10.35,0.4,11.28,48.36,44.67,42.24
DATAPATTNS,Aerospace & Defense,0.33,3.75,0.15,0.27,-6.4,-14.13,49.57,12.52
DAVANGERE,Diversified FMCG,1.28,2.27,-3.66,-4.82,-10.48,-11.48,-22.93,-41.15
DBCORP,Print Media,0.19,-1.67,-1.47,0.04,-5.02,-1.92,11.45,-7.65
DBEIL,Civil Construction,2.08,1.36,-0.51,-3.94,-4.03,-9.68,-6.92,-26.97
DBL,Civil Construction,-0.88,2.23,3.74,0.76,1.31,-10.3,3.27,12.22
DBOL,Sugar,-2.09,5.56,21.0,11.38,-3.96,-2.37,-26.82,
DBREALTY,Hotels & Resorts,-2.06,1.21,0.71,-25.34,-24.82,-5.34,34.03,1.89
DBSTOCKBRO,Stockbroking & Allied,0.12,0.81,-0.04,-6.5,-9.65,-14.93,-14.71,-41.46
DCBBANK,Private Sector Bank,-0.56,-0.08,-5.51,-14.01,-13.89,-16.36,5.41,5.94
DCI,Computers Hardware & Equipments,1.84,-0.63,-4.3,6.9,-10.77,-18.53,-17.26,-36.21
DCM,IT Enabled Services,0.08,-0.92,-0.55,-5.19,-11.38,-6.06,0.69,-3.06
DCMNVL,Other Textile Products,0.86,-2.19,-4.2,-7.41,-10.96,-6.36,-0.3,-12.7
DCMSHRIRAM,Diversified,-0.49,-5.21,-8.28,-11.3,-12.38,14.12,13.96,17.87
DCMSRIND,Sugar,0.53,1.39,-4.67,-2.43,-5.52,-7.54,1.02,-9.37
DCW,Petrochemicals,0.53,7.55,8.16,1.18,7.59,-5.08,-1.68,-8.29
DCXINDIA,Aerospace & Defense,0.91,0.89,-4.7,-6.99,-8.21,-16.14,1.35,-33.52
DDEVPLSTIK,Specialty Chemicals,-2.25,-0.98,12.02,5.01,-0.89,11.04,23.26,
DECCANCE,Cement & Cement Products,2.07,-0.69,1.79,1.84,-0.25,44.74,29.9,49.03
DEEDEV,Industrial Products,-1.14,-2.01,5.59,-2.76,-7.46,-5.59,6.75,-5.23
DEEPAKFERT,Commodity Chemicals,3.4,5.92,-0.96,-2.88,-4.79,-3.59,34.99,28.85
DEEPAKNTR,Specialty Chemicals,0.02,-3.34,-0.09,-4.12,-6.03,-7.71,-13.4,-26.35
DEEPINDS,Oil Equipment & Services,3.68,5.23,9.35,19.31,19.49,33.46,10.71,-3.89
DELHIVERY,Logistics Solution Provider,1.45,1.04,3.77,15.35,6.25,29.16,81.64,40.32
DELTACORP,Amusement Parks/ Other Recreation,9.17,7.02,10.19,7.25,1.51,-3.57,1.22,-19.54
DEN,TV Broadcasting & Software Production,4.01,4.45,-0.19,-2.07,-4.95,-3.18,9.8,-12.95
DENORA,Electrodes & Refractories,5.9,6.51,4.38,-9.36,-6.66,-5.04,13.9,-25.92
DENTA,Water Supply & Management,19.79,20.9,34.54,27.34,14.46,34.47,33.97,
DEVIT,IT Enabled Services,-57.23,-56.51,-56.36,-57.09,-58.29,-58.08,-59.34,-72.16
DEVYANI,Restaurants,12.0,9.6,8.29,5.6,-0.4,0.69,17.23,-6.96
DHAMPURSUG,Sugar,2.26,1.33,-3.21,-6.16,-8.86,-16.86,3.78,-12.71
DHANBANK,Private Sector Bank,1.12,0.67,0.52,-0.26,-6.36,-12.44,-12.22,
DHANI,Other Financial Services,2.52,0.51,-1.89,-4.49,-5.68,-14.76,-2.71,-36.59
DHANUKA,Pesticides & Agrochemicals,-0.11,-0.02,-0.9,-15.37,-6.62,-5.81,21.28,13.1
DHUNINV,Non Banking Financial Company (NBFC),1.69,-1.29,-1.0,-2.89,-4.99,-1.99,-9.04,-23.6
DIACABS,Other Electrical Equipment,-0.02,-1.18,-7.57,-10.27,-12.44,45.03,48.6,
DIAMINESQ,Specialty Chemicals,-3.33,-1.21,-9.35,-8.87,-5.18,-6.62,2.48,-25.9
DIAMONDYD,Packaged Foods,-0.77,-1.69,-1.62,-8.16,-11.59,-17.56,-11.46,-21.35
DICIND,Printing Inks,-0.17,0.18,-0.92,-4.97,-4.31,-8.62,-12.93,-11.72
DIFFNKG,Other Industrial Products,1.15,2.82,5.34,7.28,3.72,7.8,3.48,
DIGIDRIVE,E-Retail/ E-Commerce,0.77,6.61,1.53,6.54,6.23,3.04,12.0,-24.48
DIGISPICE,IT Enabled Services,-0.79,22.47,24.95,30.43,23.78,15.66,36.61,-8.19
DIGITIDE,IT Enabled Services,-0.49,3.24,2.94,-10.58,-20.66,,,
DIL,Hotels & Resorts,-0.52,-1.54,-1.03,-47.83,-68.0,,,
DISHTV,TV Broadcasting & Software Production,1.17,5.47,1.17,-3.87,-8.6,-16.24,-52.11,
DIVGIITTS,Auto Components & Equipments,2.81,2.39,6.89,2.9,1.81,13.09,42.16,9.66
DIVISLAB,Pharmaceuticals,-2.21,-1.19,-1.72,-9.35,-9.39,-10.28,1.98,3.49
DIVOPPBEES,ETF,1.35,1.43,2.15,1.12,-1.4,-3.17,1.57,-2.59
DIXON,Consumer Electronics,-0.19,4.85,1.28,-0.24,1.02,13.08,14.49,-0.76
DJML,Logistics Solution Provider,-0.27,-3.92,-6.38,-6.17,-8.27,-5.98,-32.58,
DLF,"Residential, Commercial Projects",0.56,2.05,1.14,-1.98,-8.17,-10.98,9.52,-0.95
DLINKINDIA,Computers Hardware & Equipments,-2.07,-3.69,-5.11,-6.23,-5.64,-8.35,13.31,-8.25
DMART,Diversified Retail,2.94,8.24,10.61,9.59,16.02,15.05,20.15,23.02
DMCC,Specialty Chemicals,1.97,1.34,14.35,6.77,6.16,22.21,-20.83,
DNAMEDIA,Electronic Media,-0.64,-5.47,-4.5,-4.3,-5.66,-11.89,-9.14,-26.57
DODLA,Dairy Products,0.87,3.24,3.54,4.56,0.93,-0.64,17.76,12.8
DOLATALGO,Stockbroking & Allied,2.35,-6.83,-4.35,-9.69,-13.43,-24.06,-8.22,-31.5
DOLLAR,Garments & Apparels,1.19,0.41,0.79,-1.92,-5.09,-9.93,-8.09,-19.32
DOLPHIN,Offshore Support Solution Drilling,4.81,-2.36,6.71,-3.64,-6.08,10.45,,
DOMS,Stationary,0.57,5.33,4.4,7.2,6.01,4.81,-13.05,-9.07
DONEAR,Other Textile Products,1.14,-0.04,-1.74,-6.71,-8.22,-12.65,-11.82,-38.29
DPABHUSHAN,"Gems, Jewellery And Watches",-0.82,1.05,-0.4,-1.87,-2.92,10.64,20.55,9.68
DPSCLTD,Integrated Power Utilities,0.08,3.04,3.3,-1.26,-4.28,-12.8,-1.18,-23.64
DPWIRES,Iron & Steel Products,20.65,19.47,14.18,10.47,6.51,-0.85,13.66,-26.84
DREDGECORP,Dredging,1.22,-3.68,-3.78,-7.88,-11.12,-18.16,10.1,-22.12
DRREDDY,Pharmaceuticals,1.1,1.85,6.68,-1.2,2.34,-5.51,5.48,-6.93
DSSL,IT Enabled Services,1.88,-5.28,0.57,-3.87,-4.92,-10.1,-10.26,-34.4
DTIL,Tea & Coffee,0.55,-0.53,4.37,4.69,-0.23,-2.1,6.91,-23.64
DUCON,Industrial Products,5.3,6.47,3.97,-0.69,-5.26,-8.43,2.49,-20.44
DVL,Diversified,1.49,-0.44,0.97,-0.86,-2.04,4.21,4.84,-2.2
DWARKESH,Sugar,3.34,5.45,0.1,-3.13,-10.45,-19.98,-0.19,-21.27
DYCL,Cables - Electricals,18.82,17.27,13.27,14.12,4.23,-47.61,-19.64,-52.1
DYNAMATECH,Industrial Products,-1.15,-0.14,-0.05,-2.18,-8.86,-3.43,-2.77,-17.49
DYNPRO,Specialty Chemicals,-2.72,6.43,10.51,2.54,8.06,27.31,31.7,-5.1
E2E,IT Enabled Services,10.79,12.03,12.36,10.82,-1.67,-12.71,1.39,
EASEMYTRIP,"Tour, Travel Related Services",1.19,5.19,-0.21,-6.43,-10.56,-15.73,-30.45,-38.44
EBANKNIFTY,ETF,0.07,1.14,0.41,-0.46,-2.15,-1.22,8.54,13.01
EBBETF0430,ETF,-0.02,-0.04,-0.32,-0.01,-0.19,0.39,4.08,6.01
EBBETF0431,ETF,0.06,-0.18,-0.37,-0.05,-0.23,0.12,4.36,5.79
EBBETF0433,ETF,-0.02,-0.04,-0.55,-0.23,-0.24,-0.1,4.06,5.42
EBGNG,Computers Hardware & Equipments,1.55,2.11,9.37,1.38,,,,
ECAPINSURE,Unknown,-0.13,2.21,3.15,1.99,-0.72,2.57,23.19,15.35
ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),2.2,0.23,1.19,5.67,8.6,8.77,44.97,22.3
ECOSMOBLTY,Road Transport,2.8,2.21,-0.09,-7.55,-18.03,-7.34,40.45,10.11
EDELWEISS,Holding Company,1.38,1.15,-0.53,-6.78,-14.37,-11.34,6.58,-18.31
EFCIL,Unknown,,,,,,,,
EGOLD,ETF,-0.55,-0.94,-1.38,-0.15,-1.77,2.15,12.97,25.8
EICHERMOT,2/3 Wheelers,1.07,4.56,5.42,9.01,9.8,11.64,10.15,16.25
EIDPARRY,Other Food Products,-0.56,2.8,-2.19,-5.32,-1.12,15.74,49.24,38.38
EIEL,Water Supply & Management,1.13,3.47,5.53,1.46,-6.53,13.86,13.71,-11.74
EIHAHOTELS,Hotels & Resorts,4.6,4.08,8.08,4.38,4.46,4.71,16.89,-0.16
EIHOTEL,Hotels & Resorts,4.14,-3.86,10.05,5.9,4.78,7.94,6.44,-1.58
EIMCOELECO,Industrial Products,-2.02,-1.77,-4.63,-1.63,-1.83,-10.49,43.51,11.57
EKC,Industrial Products,-0.62,8.78,9.28,10.44,3.5,2.88,11.43,-15.41
ELDEHSG,"Residential, Commercial Projects",1.2,3.57,2.88,0.38,-1.03,-8.53,-0.15,-14.59
ELECON,Heavy Electrical Equipment,0.28,-0.65,0.39,-2.6,-5.16,-17.33,23.39,-6.81
ELECTCAST,Iron & Steel Products,5.52,5.99,-2.65,-7.3,-7.51,-17.82,1.74,-19.5
ELECTHERM,Iron & Steel Products,-5.55,-7.48,-7.41,-25.7,-30.0,-35.73,,
ELGIEQUIP,"Compressors, Pumps & Diesel Engines",0.15,1.02,-7.39,-10.92,-14.3,-4.03,0.0,-10.48
ELLEN,Industrial Gases,4.78,0.38,-5.4,-8.97,-9.81,,,
EMAMILTD,Personal Care,4.04,6.38,3.23,9.54,6.74,4.75,8.09,3.94
EMAMIPAP,Paper & Paper Products,0.76,0.16,-0.02,-2.93,-5.65,-5.12,0.57,-11.7
EMBDL,"Residential, Commercial Projects",5.39,6.12,0.16,-5.63,-16.45,-15.33,-15.22,-26.4
EMCURE,Pharmaceuticals,1.14,1.11,3.35,2.96,3.14,7.43,38.39,2.3
EMIL,Diversified Retail,3.39,9.01,12.51,1.85,-2.58,-1.49,6.17,-17.55
